step	NumberAccept	NumberReject
88800	63742	25058
88900	63813	25087
89000	63887	25113
89100	63955	25145
89200	64028	25172
89300	64102	25198
89400	64172	25228
89500	64248	25252
89600	64324	25276
89700	64392	25308
89800	64449	25351
89900	64524	25376
90000	64597	25403
90100	64671	25429
90200	64745	25455
90300	64825	25475
90400	64897	25503
90500	64974	25526
90600	65041	25559
90700	65109	25591
90800	65172	25628
90900	65239	25661
91000	65317	25683
91100	65392	25708
91200	65467	25733
91300	65533	25767
91400	65605	25795
91500	65672	25828
91600	65739	25861
91700	65813	25887
91800	65884	25916
91900	65953	25947
92000	66026	25974
92100	66104	25996
92200	66180	26020
92300	66250	26050
92400	66323	26077
92500	66396	26104
92600	66465	26135
92700	66533	26167
92800	66605	26195
92900	66671	26229
93000	66745	26255
93100	66808	26292
93200	66883	26317
93300	66957	26343
93400	67033	26367
93500	67104	26396
93600	67173	26427
93700	67248	26452
93800	67325	26475
93900	67399	26501
94000	67470	26530
94100	67537	26563
94200	67606	26594
94300	67683	26617
94400	67750	26650
94500	67825	26675
94600	67894	26706
94700	67971	26729
94800	68042	26758
94900	68113	26787
95000	68172	26828
95100	68241	26859
95200	68311	26889
95300	68387	26913
95400	68448	26952
95500	68522	26978
95600	68596	27004
95700	68664	27036
95800	68730	27070
95900	68812	27088
96000	68886	27114
96100	68965	27135
96200	69035	27165
96300	69105	27195
96400	69178	27222
96500	69251	27249
96600	69320	27280
96700	69386	27314
96800	69454	27346
96900	69537	27363
97000	69601	27399
97100	69680	27420
97200	69750	27450
97300	69823	27477
97400	69896	27504
97500	69975	27525
97600	70053	27547
97700	70116	27584
97800	70193	27607
97900	70266	27634
98000	70348	27652
98100	70418	27682
98200	70500	27700
98300	70562	27738
98400	70641	27759
98500	70711	27789
98600	70783	27817
98700	70859	27841
98800	70934	27866
98900	71006	27894
99000	71077	27923
99100	71140	27960
99200	71211	27989
99300	71276	28024
99400	71348	28052
99500	71416	28084
99600	71492	28108
99700	71569	28131
99800	71640	28160
99900	71706	28194
100000	71779	28221
100100	71854	28246
100200	71925	28275
100300	71996	28304
100400	72074	28326
100500	72156	28344
100600	72229	28371
100700	72298	28402
100800	72372	28428
100900	72438	28462
101000	72520	28480
101100	72596	28504
101200	72676	28524
101300	72757	28543
101400	72827	28573
101500	72912	28588
101600	72992	28608
101700	73052	28648
101800	73121	28679
101900	73184	28716
102000	73255	28745
102100	73327	28773
102200	73403	28797
102300	73469	28831
102400	73544	28856
102500	73613	28887
102600	73679	28921
102700	73759	28941
102800	73840	28960
102900	73923	28977
103000	73999	29001
103100	74076	29024
103200	74153	29047
103300	74226	29074
103400	74305	29095
